00:01:26 |j| Slork
00:02:20 |l| Slork
00:07:42 |j|~Ransei
23:01:11 |c|$TimeZone|Ohai pika o;
23:01:11 |l|+smellslikememe
23:01:19 |c| Pika Xreme|i exist
23:01:28 |c|$TimeZone|o;
23:01:30 |c|$TimeZone|you do.
23:01:39 |c|+Mistress Midnight|now here is something powerful http://dragonheaven.psim.us/battle-gen7franticfusionsubers-22304
23:03:14 |j| PKMN Trainer Fitz
23:03:49 |c|+Mistress Midnight|life and eath http://dragonheaven.psim.us/battle-gen7franticfusionsubers-22305
23:03:52 |c|+Mistress Midnight|DEATH!
23:04:01 |l| PorygonDrew
23:04:03 |l| PKMN Trainer Fitz
23:04:24 |c| Pika Xreme|life and eath
23:04:32 |c| Pika Xreme|i'll be sure to remember that
23:04:32 |c|+Mistress Midnight|I put no water stab on my kyogre fusion
23:04:48 |c|+Mistress Midnight|http://dragonheaven.psim.us/battle-gen7franticfusionsubers-22307
23:04:50 |c|+Mistress Midnight|now its better
23:04:54 |c|+Mistress Midnight|Ive done this before tho
23:05:39 |l| lukkixd
23:06:51 |c|+Mistress Midnight|!fuse leafeon, groudon
23:06:51 |html|<div class="infobox"><b>Stats</b>: 82/130/135/80/77/92<br /><b>BST</b>:596<br /><b>Type:</b> Grass/Ground<br /><b>Abilities</b>: Leaf Guard/Chlorophyll + Drought<br /><b>Weight</b>: 487.75 kg</div>
23:07:35 |n|$Time😎🤔🤐😕Zone|timezone
23:07:56 |c|$Time😎🤔🤐😕Zone|Noice 
23:08:16 |c|+Mistress Midnight|nice emojies lol
23:08:23 |l| lpetersen
23:08:28 |c|+Mistress Midnight|http://dragonheaven.psim.us/battle-gen7franticfusionsubers-22308
23:08:30 |c|+Mistress Midnight|Spede is key
23:09:33 |c| Pika Xreme|time zone turn it back
23:09:38 |c| Pika Xreme|emoji will give you cancer
23:09:42 |c|+Mistress Midnight|Nah
23:09:47 |c|+Mistress Midnight|Some of my username emojis look cool
23:11:05 |c|+Mistress Midnight|i mean this thing has good coverage
23:11:12 |c|+Mistress Midnight|!coverage
23:11:25 |c|+Mistress Midnight|!coverage grass, ground, fire, dark
23:11:25 |html|<div class="infobox">Coverage for Grass + Ground + Fire + Dark:<br /><b><font color=#559955>Super Effective</font></b>: Bug, Electric, Fire, Ghost, Grass, Ground, Ice, Poison, Psychic, Rock, Steel, Water<br /><span class="message-effect-resist">Neutral</span>: Dark, Dragon, Fairy, Fighting, Flying, Normal<br /><span class="message-effect-weak">Resists</span>: <font color=#999999>None</font><br /><span class="message-effect-immune">Immunities</span>: <font color=#999999>None</font></div>
23:11:32 |c| Pika Xreme|emoji are still cancer tho
23:11:34 |c|+Mistress Midnight|Its super effective against like everything
23:11:42 |c|+Mistress Midnight|Lol
23:11:48 |c|+Mistress Midnight|Dont you think this is a little trippy
23:11:53 |c|+Mistress Midnight|But you use precipce blade
23:11:58 |c|+Mistress Midnight|It looks like its going to hit
23:12:03 |c|+Mistress Midnight|Then it just goes to the lef tlol
23:12:05 |c|+Mistress Midnight|And misses
23:12:18 |l| TheNameNotTaken
23:13:30 |c|+Mistress Midnight|!fuse eevee, groudon
23:13:30 |html|<div class="infobox"><b>Stats</b>: 77/102/95/72/77/72<br /><b>BST</b>:495<br /><b>Type:</b> Normal/Ground<br /><b>Abilities</b>: Run Away/Adaptability/Anticipation + Drought<br /><b>Weight</b>: 478.25 kg</div>
23:14:17 |c|+Mistress Midnight|http://dragonheaven.psim.us/battle-gen7franticfusionsubers-22311
23:14:20 |n|$Time🌪🎎💰Zone 💪|timezone
23:15:05 |c|$Time🌪🎎💰Zone 💪|Kinda like Hjk?
23:15:08 |c| Pika Xreme|timezone why you do this to me
23:15:11 |c|$Time🌪🎎💰Zone 💪|It goes up
23:15:12 |c| Pika Xreme|i thought we were cool
23:15:16 |c|$Time🌪🎎💰Zone 💪|Then comes downs
23:15:20 |c|$Time🌪🎎💰Zone 💪|To crash and miss
23:15:27 |c|$Time🌪🎎💰Zone 💪|;)
23:16:08 |j| alephgalactus
23:16:23 |c|$Time🌪🎎💰Zone 💪|cancer=recnac=illuminati confirmed 
23:17:30 |n|$TimeZone|timezone
23:17:42 |userstats|total:13|guests:2| :8|+:1|$:1|%:0|@:0|*:2|★:0|#:1|&:0|~:0|⚔:0
23:18:38 |j| Zanesp
23:18:44 |l| Zanesp
23:18:50 |c|+Mistress Midnight|http://dragonheaven.psim.us/battle-gen7franticfusionsubers-22315
23:19:35 |c|+Mistress Midnight|Tis is so powerful
23:19:37 |c|+Mistress Midnight|Ish
23:20:44 |l| yveltalsdoom
23:22:17 |c|+Mistress Midnight|guzzord pheromosa
23:24:50 |c|+Mistress Midnight|v
23:24:51 |c|+Mistress Midnight|http://dragonheaven.psim.us/battle-gen7franticfusionsubers-22317
23:25:04 |j| Reviloja753
23:29:27 |l|$TimeZone
23:30:01 |j| Fijit
23:30:37 |l| Fijit
23:30:44 |c|+Mistress Midnight|v
23:30:44 |c|+Mistress Midnight|http://dragonheaven.psim.us/battle-gen7franticfusionsubers-22320
23:30:47 |l| Reviloja753
23:32:46 |j| hehehihi
23:32:49 |l| hehehihi
23:33:56 |c| Pika Xreme|sorry about that, was too busy analyzing the sociopolitical commentary present in SiIvaGunner lore
23:33:59 |c|+Mistress Midnight|uh huh
23:34:09 |c| Pika Xreme|how do people type that fast
23:34:15 |c|+Mistress Midnight|huh
23:34:16 |c|+Mistress Midnight|What do oyu mena
23:34:18 |c|+Mistress Midnight|Sorry
23:34:21 |c|+Mistress Midnight|i dont feel so great rn
23:34:33 |c|+Mistress Midnight|what can lonely little pika do http://dragonheaven.psim.us/battle-gen7franticfusionsubers-22322
23:34:41 |c|+Mistress Midnight|Your friend might die pika
23:35:26 |c| Pika Xreme|Just fainted, temporarily
23:35:30 |c|+Mistress Midnight|http://dragonheaven.psim.us/battle-gen7franticfusionsubers-22324
23:35:31 |c|+Mistress Midnight|yes
23:35:33 |c|+Mistress Midnight|Temporarily
23:35:41 |c|+Mistress Midnight|redemption!
23:35:50 |c|+Mistress Midnight|OMG
23:36:00 |c|+Mistress Midnight|http://dragonheaven.psim.us/battle-gen7franticfusionsubers-22325
23:36:07 |c|+Mistress Midnight|NONONO
23:36:45 |c| Pika Xreme|i think you might just be bad
23:36:52 |c|+Mistress Midnight|http://dragonheaven.psim.us/battle-gen7franticfusionsubers-22326
23:36:57 |c|+Mistress Midnight|Well im only doing one pokemon lol
23:37:14 |c| Pika Xreme|...you do know pikachu has E-Speed or Fake Out right
23:37:25 |c| Pika Xreme|welp there goes that plan
23:37:31 |c|+Mistress Midnight|lol
23:37:36 |c| Pika Xreme|hold up
23:37:38 |c| Pika Xreme|do you even light ball
23:37:41 |c|+Mistress Midnight|yes
23:37:44 |c|+Mistress Midnight|Yes i even light ball
23:37:48 |c|+Mistress Midnight|How did it do that little damage
23:37:51 |c|+Mistress Midnight|oh well
23:37:58 |c|+Mistress Midnight|also
23:38:06 |c|+Mistress Midnight|Imagine if pikachu could do fake out and extreme speed
23:38:09 |c|+Mistress Midnight|together
23:38:17 |c|+Mistress Midnight|oh it can
23:38:20 |c|+Mistress Midnight|in this format with a fusion okay
23:38:23 |c|+Mistress Midnight|And yes
23:38:25 |c|+Mistress Midnight|i do type fast
23:38:27 |c|+Mistress Midnight|When i want to lol
23:39:17 |l| anon171
23:39:32 |j| Scyl
23:39:35 |c|+Mistress Midnight|omg what did i do to poor pikachu http://dragonheaven.psim.us/battle-gen7franticfusionsubers-22327
23:43:34 |l| Scyl
23:43:36 |c|+Mistress Midnight|http://dragonheaven.psim.us/battle-gen7franticfusionsubers-22330
23:45:34 |j|$TimeZone
23:47:15 |c| Pika Xreme|~~Smol Nozomi represents the greater LGBT community, while TVIYH represents misguided fighters for social justice, alienating large amounts of the group it's trying to "protect" because it believe they are "stereotypical".~~ jk no
23:47:18 |c|+Mistress Midnight|?
23:47:25 |c|+Mistress Midnight|lol
23:47:36 |l|$TimeZone
23:47:37 |j| anon171
23:47:40 |c| Pika Xreme|The hidden sociopolitical commentary in SiIvaGunner lore!
23:47:54 |l| anon171
23:48:27 |c|+Mistress Midnight|Going to eat like now
23:48:31 |c|+Mistress Midnight|http://dragonheaven.psim.us/battle-gen7franticfusionsubers-22334
23:49:44 |c| Pika Xreme|come to think of it there are people who would really believe that
23:50:27 |c| Pika Xreme|I should save it as a potential smokescreen for people who are confused by SiIvaGunner, so I can use it to confuse them more
23:51:18 |c| Pika Xreme|then again, if you'll excuse my language, i kinda pulled it out of my ass
23:51:21 |j| anon171
23:51:31 |l| anon171
23:52:23 |l| alephgalactus
23:53:07 |c|+Mistress Midnight|http://dragonheaven.psim.us/battle-gen7franticfusionsubers-22338
23:53:46 |l|#Snaquaza
23:53:49 |c| Pika Xreme|Then again, The Voice's logo DOES look a little like the Safe Space symbol, and Nozomi and The Voice are both apparently gay, so I might eventually start to believe my own lie
